Date and Time,Distance,HWS hub,DIRECTION hub,HWS hub availability,RWS2 availability,RWS3 availability,Shear,Veer,RWS2,RWS3,CNR2,CNR3,Tilt,Roll,U high,U low,V high,V low,HEIGHT high,HEIGHT low,HWS high,HWS low,DIRECTION high,DIRECTION low,HWS high Availability,HWS low Availability
20/10/2020 00:00,50,3.43,92.7,1,1,1,-0.07,-0.22,0.765,-1.0007,-10.98,-11.17,5.01,-0.01,-0.01,-0.12,3.41,3.42,111.72,103.01,3.41,3.43,90.12,92.04,1,1
20/10/2020 00:00,140,3.94,89.17,1,1,1,0.88,-0.14,1.1302,-0.9578,-8.33,-8.89,5.01,-0.01,0.4,0.09,4.87,4.05,127.43,103.03,4.88,4.05,85.29,88.74,1,1
20/10/2020 00:00,150,4.19,89.2,1,1,1,0.74,-0.13,1.1889,-1.0188,-7.94,-8.62,5.01,-0.01,0.39,0.09,5.04,4.28,129.17,103.03,5.06,4.28,85.54,88.82,1,1
20/10/2020 00:00,160,4.37,89.21,1,1,1,0.63,-0.11,1.2313,-1.0624,-7.51,-8.28,5.01,-0.01,0.38,0.09,5.16,4.45,130.92,103.03,5.17,4.45,85.78,88.87,1,1
20/10/2020 00:00,170,4.39,89.38,1,1,1,0.59,-0.11,1.2231,-1.0793,-7.13,-7.95,5.01,-0.01,0.38,0.07,5.17,4.46,132.66,103.04,5.19,4.46,85.79,89.04,1,1
20/10/2020 00:00,178,4.39,89.54,1,1,1,0.52,-0.11,1.2085,-1.0889,-6.87,-7.69,5.01,-0.01,0.38,0.06,5.09,4.45,134.06,103.04,5.11,4.45,85.76,89.2,1,1
20/10/2020 00:00,180,4.39,89.57,1,1,1,0.5,-0.11,1.2063,-1.0903,-6.82,-7.64,5.01,-0.01,0.38,0.06,5.07,4.45,134.41,103.04,5.09,4.45,85.74,89.23,1,1
20/10/2020 00:00,190,4.38,89.69,1,1,1,0.4,-0.12,1.1939,-1.0949,-6.59,-7.38,5.01,-0.01,0.39,0.05,4.95,4.44,136.15,103.04,4.97,4.44,85.52,89.34,1,1
20/10/2020 00:00,200,4.35,89.83,1,1,1,0.33,-0.13,1.174,-1.0908,-6.46,-7.19,5.01,-0.01,0.43,0.04,4.82,4.39,137.89,103.04,4.84,4.39,84.93,89.44,1,1
20/10/2020 00:00,210,4.26,89.95,1,1,1,0.3,-0.14,1.1437,-1.0731,-6.42,-7.08,5.01,-0.01,0.47,0.04,4.69,4.3,139.64,103.04,4.71,4.3,84.22,89.51,1,1
20/10/2020 00:00,300,3.67,90.1,1,1,1,0.35,-0.24,0.9945,-0.9166,-8.13,-8.39,5.01,-0.01,0.96,0.04,4.17,3.71,155.34,103.06,4.28,3.71,77.08,89.38,1,1
20/10/2020 00:00,400,3.39,87.82,1,1,1,1.06,-0.16,1.0597,-0.7442,-11.05,-11.1,5.01,-0.01,1.44,0.16,5.88,3.5,172.79,103.08,6.05,3.5,76.27,87.33,1,1
20/10/2020 00:00,500,3.41,88.56,1,1,1,1.14,-0.16,1.0262,-0.7941,-13.62,-13.66,5.01,-0.01,1.98,0.12,6.82,3.53,190.24,103.1,7.1,3.53,73.81,88.05,1,1
